batter,runs,balls,fours,sixes,strike_rate,dismissal
Brett Lee,16,8,2,1,200.0,not out
Yuvraj Singh,18,9,1,1,200.0,c Bravo b Pollock
Irfan Pathan,6,3,0,0,200.0,c Kulkarni b Nehra
Mahela Jayawardene,12,7,0,1,171.43,c sub (AM Rahane) b Harbhajan Singh
Kumar Sangakkara,94,56,13,1,167.86,c Kulkarni b Harbhajan Singh
Ramnaresh Sarwan,7,9,0,0,77.78,c Harbhajan Singh b Nehra
Vikram Singh,4,2,1,0,200.0,run out (Harbhajan Singh/Ronchi)
S Sreesanth,0,1,0,0,0.0,c Ronchi b Kulkarni
Piyush Chawla,0,1,0,0,0.0,lbw b Harbhajan Singh
Karan Goel,18,21,1,1,85.71,run out (Bravo/Ronchi)
Sunny Sohal,0,4,0,0,0.0,c Nehra b Kulkarni
