batter,runs,balls,fours,sixes,strike_rate,dismissal
Sourav Ganguly,12,19,1,0,63.16,c Badrinath b Joginder Sharma
Ricky Ponting,0,1,0,0,0.0,c Raina b Oram
Ajit Agarkar,11,9,1,0,122.22,c Muralitharan b Gony
Brendon McCullum,24,12,2,2,200.0,c Raina b Oram
Murali Kartik,3,3,0,0,100.0,c &amp; b Oram
Mohammad Hafeez,16,24,1,0,66.67,c Joginder Sharma b Amarnath
David Hussey,0,2,0,0,0.0,c Badrinath b Amarnath
Ishant Sharma,4,3,0,0,133.33,not out
Wriddhiman Saha,27,16,5,1,168.75,b Gony
Laxmi Shukla,42,33,4,1,127.27,run out (Dhoni/Joginder Sharma)
