batter,runs,balls,fours,sixes,strike_rate,dismissal
Rahul Dravid,0,1,0,0,0.0,lbw b Gony
Zaheer Khan,8,6,1,0,133.33,run out (Raina/Dhoni)
Mark Boucher,4,6,0,0,66.67,c Hussey b Gony
Jacques Kallis,14,10,2,0,140.0,c Dhoni b Joginder Sharma
Wasim Jaffer,50,33,5,2,151.52,c Oram b Amarnath
Dale Steyn,1,2,0,0,50.0,c Hussey b Joginder Sharma
Ross Taylor,53,34,3,3,155.88,c Raina b Amarnath
Praveen Kumar,6,5,0,0,120.0,run out (Joginder Sharma/Oram/Dhoni)
Virat Kohli,12,7,2,0,171.43,b Morkel
Balachandra Akhil,2,3,0,0,66.67,not out
Bharath Chipli,8,11,1,0,72.73,b Gony
