batter,runs,balls,fours,sixes,strike_rate,dismissal
Virender Sehwag,0,1,0,0,0.0,c Saha b Shoaib Akhtar
Tillakaratne Dilshan,25,19,5,0,131.58,run out (Shukla/Saha)
Farveez Maharoof,10,12,0,0,83.33,run out (Dinda)
Gautam Gambhir,10,7,2,0,142.86,c Hussey b Shoaib Akhtar
AB de Villiers,7,12,0,0,58.33,c Taibu b Shoaib Akhtar
Manoj Tiwary,9,7,2,0,128.57,lbw b Shoaib Akhtar
Shikhar Dhawan,7,10,1,0,70.0,b Dinda
Amit Mishra,31,32,3,0,96.88,c Sharma b Shukla
Pradeep Sangwan,0,1,0,0,0.0,c Hussey b Shukla
Yo Mahesh,3,6,0,0,50.0,b Shukla
