batter,runs,balls,fours,sixes,strike_rate,dismissal
Adam Gilchrist,14,9,3,0,155.56,c Dilshan b McGrath
Scott Styris,29,28,2,0,103.57,c sub (AB de Villiers) b Maharoof
Shahid Afridi,33,14,3,2,235.71,c sub (AB de Villiers) b Mishra
Herschelle Gibbs,22,22,1,2,100.0,b Mishra
Venugopal Rao,34,18,3,2,188.89,c sub (Shoaib Malik) b McGrath
RP Singh,1,2,0,0,50.0,st Karthik b Mishra
Rohit Sharma,35,18,3,2,194.44,b Maharoof
Pragyan Ojha,0,1,0,0,0.0,c Dilshan b Mishra
Dwaraka Ravi Teja,9,5,0,1,180.0,c sub (Shoaib Malik) b Mishra
Sarvesh Kumar,1,2,0,0,50.0,not out
Paidikalva Vijaykumar,1,1,0,0,100.0,not out
