batter,runs,balls,fours,sixes,strike_rate,dismissal
Stephen Fleming,45,40,3,2,112.5,c Akhil b Kumble
Parthiv Patel,24,29,4,0,82.76,c &amp; b Kumble
Lakshmipathy Balaji,0,4,0,0,0.0,run out (Dravid/Goswami)
Makhaya Ntini,0,6,0,0,0.0,not out
MS Dhoni,4,8,0,0,50.0,c Kumble b Vinay Kumar
Suresh Raina,21,20,2,0,105.0,not out
Vidyut Sivaramakrishnan,0,3,0,0,0.0,c Kallis b Steyn
Albie Morkel,1,5,0,0,20.0,c Vinay Kumar b Steyn
S Badrinath,1,3,0,0,33.33,lbw b Kumble
Manpreet Gony,4,4,1,0,100.0,c Steyn b Kumar
