batter,runs,balls,fours,sixes,strike_rate,dismissal
Mohammad Kaif,12,11,0,1,109.09,b Mishra
Shane Warne,0,1,0,0,0.0,c Sehwag b Mahesh
Shane Watson,52,29,4,3,179.31,st Karthik b Mishra
Graeme Smith,25,21,5,0,119.05,c Dhawan b Maharoof
Ravindra Jadeja,7,5,0,1,140.0,c Maharoof b Mahesh
Yusuf Pathan,45,21,3,4,214.29,run out (Dilshan/Karthik)
Sohail Tanvir,5,5,1,0,100.0,c Karthik b Maharoof
Swapnil Asnodkar,39,21,6,1,185.71,c Tiwary b Maharoof
Siddharth Trivedi,1,2,0,0,50.0,not out
Mahesh Rawat,2,4,0,0,50.0,c &amp; b Mohammad Asif
