batter,runs,balls,fours,sixes,strike_rate,dismissal
Anil Kumble,1,3,0,0,33.33,b Abdulla
Mark Boucher,2,4,0,0,50.0,lbw b Yuvraj Singh
Jacques Kallis,27,22,4,0,122.73,b Yuvraj Singh
Robin Uthappa,19,17,2,0,111.76,c Katich b Yuvraj Singh
Jesse Ryder,2,5,0,0,40.0,c Jayawardene b Pathan
Praveen Kumar,9,7,1,0,128.57,not out
Virat Kohli,16,14,2,0,114.29,c Chawla b Pathan
Roelof van der Merwe,35,19,3,3,184.21,c Pathan b Abdulla
KP Appanna,0,1,0,0,0.0,not out
Shreevats Goswami,10,14,0,0,71.43,c Chawla b Abdulla
Rajesh Bishnoi,18,14,1,2,128.57,c Chawla b Abdulla
