batter,runs,balls,fours,sixes,strike_rate,dismissal
Shane Warne,3,9,0,0,33.33,st Uthappa b Kumble
Graeme Smith,2,11,0,0,18.18,c Dravid b Kumar
Munaf Patel,0,2,0,0,0.0,c Steyn b Kumble
Ravindra Jadeja,11,10,0,1,110.0,c Kohli b Kumble
Tyron Henderson,11,15,0,1,73.33,b Ryder
Dimitri Mascarenhas,0,1,0,0,0.0,run out (Kohli/Uthappa)
Yusuf Pathan,11,14,1,0,78.57,c Ryder b Kumble
Swapnil Asnodkar,0,2,0,0,0.0,c Kohli b Kumar
Niraj Patel,4,16,0,0,25.0,c Kumble b Ryder
Mahesh Rawat,4,7,0,0,57.14,not out
Kamran Khan,3,5,0,0,60.0,c Uthappa b Kumble
