batter,runs,balls,fours,sixes,strike_rate,dismissal
Jacob Oram,7,15,0,0,46.67,c Boucher b Vinay Kumar
Lakshmipathy Balaji,0,1,0,0,0.0,c Kumble b Vinay Kumar
Muthiah Muralidaran,4,2,1,0,200.0,run out (Kumar)
Matthew Hayden,60,38,5,3,157.89,c Vinay Kumar b Kumble
MS Dhoni,18,20,1,0,90.0,c &amp; b van der Merwe
Suresh Raina,13,10,3,0,130.0,c van der Merwe b Kallis
Albie Morkel,9,7,1,0,128.57,c Kumble b Kumar
S Badrinath,2,9,0,0,22.22,c Uthappa b Kumble
Murali Vijay,5,9,0,0,55.56,c Uthappa b Kallis
Shadab Jakati,7,7,1,0,100.0,not out
