batter,runs,balls,fours,sixes,strike_rate,dismissal
Rahul Dravid,9,13,0,0,69.23,b Harmeet Singh
Anil Kumble,1,1,0,0,100.0,not out
Mark Boucher,5,6,1,0,83.33,c Gibbs b Harmeet Singh
Jacques Kallis,15,17,3,0,88.24,b Singh
Ross Taylor,27,20,3,1,135.0,c Venugopal Rao b Symonds
Robin Uthappa,17,15,0,1,113.33,not out
Praveen Kumar,2,3,0,0,66.67,c Singh b Ojha
Virat Kohli,7,8,1,0,87.5,st Gilchrist b Symonds
Vinay Kumar,8,8,1,0,100.0,c Harmeet Singh b Harris
Roelof van der Merwe,32,21,1,3,152.38,st Gilchrist b Ojha
Manish Pandey,4,8,0,0,50.0,c Gilchrist b Ojha
