batter,runs,balls,fours,sixes,strike_rate,dismissal
Shane Warne,4,7,0,0,57.14,b Kumble
Damien Martyn,19,24,1,0,79.17,b Kumar
Munaf Patel,0,2,0,0,0.0,run out (Dravid/Boucher)
Morne Morkel,2,9,0,0,22.22,st Boucher b Kumble
Yusuf Pathan,26,24,1,2,108.33,run out (Kohli)
Siddharth Trivedi,0,1,0,0,0.0,not out
Naman Ojha,16,18,1,0,88.89,c Uthappa b Kallis
Paras Dogra,3,9,0,0,33.33,b Kumar
Sumit Narwal,0,1,0,0,0.0,c Pandey b Kumar
Michael Lumb,10,18,1,0,55.56,st Boucher b Kumble
Abhishek Jhunjhunwala,5,7,1,0,71.43,b Kallis
