batter,runs,balls,fours,sixes,strike_rate,dismissal
VVS Laxman,10,7,1,0,142.86,retired hurt
Adam Gilchrist,33,12,4,2,275.0,c Jayawardene b Srivastava
Andrew Symonds,53,38,3,3,139.47,c Bipul Sharma b Yuvraj Singh
Chaminda Vaas,16,10,1,1,160.0,c Bipul Sharma b Pathan
Herschelle Gibbs,23,23,2,0,100.0,b Yuvraj Singh
RP Singh,4,2,0,0,200.0,not out
Rohit Sharma,1,2,0,0,50.0,run out (Jayawardene)
Jaskaran Singh,3,3,0,0,100.0,not out
Tirumalsetti Suman,26,22,2,1,118.18,run out (Sangakkara)
Anirudh Singh,0,1,0,0,0.0,c Sangakkara b Bipul Sharma
