batter,runs,balls,fours,sixes,strike_rate,dismissal
Virender Sehwag,3,7,0,0,42.86,c Gibbs b Ojha
Dinesh Karthik,46,27,4,2,170.37,c &amp; b Symonds
AB de Villiers,27,26,2,0,103.85,b R Sharma
Mithun Manhas,8,8,1,0,100.0,c Suman b R Sharma
Moises Henriques,11,5,2,0,220.0,c Singh b Symonds
Amit Mishra,0,1,0,0,0.0,c Gilchrist b Symonds
Dirk Nannes,1,2,0,0,50.0,not out
David Warner,57,33,4,4,172.73,run out (Singh/Gilchrist)
Yogesh Nagar,1,6,0,0,16.67,b Vaas
Umesh Yadav,3,4,0,0,75.0,not out
Sarabjit Ladda,0,1,0,0,0.0,run out (Vaas)
