batter,runs,balls,fours,sixes,strike_rate,dismissal
Yuvraj Singh,15,13,0,1,115.38,c Fazal b Trivedi
Mohammad Kaif,8,8,1,0,100.0,lbw b Pathan
Irfan Pathan,1,1,0,0,100.0,run out (Jhunjhunwala)
Mahela Jayawardene,23,22,0,1,104.55,c Jhunjhunwala b Trivedi
Kumar Sangakkara,29,13,6,0,223.08,c Fazal b Tait
S Sreesanth,0,2,0,0,0.0,not out
Piyush Chawla,8,8,1,0,100.0,c Tait b Pathan
Ravi Bopara,25,26,1,0,96.15,c Trivedi b Patel
Manvinder Bisla,35,18,4,2,194.44,c Lumb b Warne
Shalabh Srivastava,0,1,0,0,0.0,b Tait
Rusty Theron,2,4,0,0,50.0,c Patel b Tait
