batter,runs,balls,fours,sixes,strike_rate,dismissal
Rahul Dravid,1,1,0,0,100.0,run out (Yadav/Karthik)
Anil Kumble,1,1,0,0,100.0,not out
Mark Boucher,2,3,0,0,66.67,c Sehwag b Sangwan
Jacques Kallis,27,29,3,0,93.1,b Mishra
Dale Steyn,8,9,1,0,88.89,b McDonald
Robin Uthappa,15,10,1,1,150.0,c Karthik b Mishra
Praveen Kumar,0,1,0,0,0.0,c de Villiers b Yadav
Eoin Morgan,17,13,2,0,130.77,run out (de Villiers/Karthik)
Virat Kohli,38,23,4,1,165.22,not out
Vinay Kumar,2,2,0,0,100.0,run out (Mishra/Nannes)
Manish Pandey,39,29,4,1,134.48,b McDonald
