batter,runs,balls,fours,sixes,strike_rate,dismissal
Virender Sehwag,0,1,0,0,0.0,c Sodhi b Pathan
Paul Collingwood,4,7,0,0,57.14,lbw b Chawla
Farveez Maharoof,0,1,0,0,0.0,b Ablish
Dinesh Karthik,17,35,1,0,48.57,c Jayawardene b Pathan
Daniel Vettori,2,4,0,0,50.0,b Chawla
Ashish Nehra,1,4,0,0,25.0,c Chawla b Pathan
Gautam Gambhir,26,12,5,0,216.67,run out (Theron/Sangakkara)
Mithun Manhas,26,28,1,0,92.86,b Theron
Amit Mishra,10,10,0,0,100.0,not out
Rajat Bhatia,1,5,0,0,20.0,c Sodhi b Yuvraj Singh
David Warner,6,11,1,0,54.55,run out (Goel/Sangakkara)
