batter,runs,balls,fours,sixes,strike_rate,dismissal
Lakshmipathy Balaji,3,8,0,0,37.5,lbw b Mishra
Matthew Hayden,1,5,0,0,20.0,c Collingwood b Nehra
MS Dhoni,0,2,0,0,0.0,c Manhas b Nannes
Suresh Raina,15,19,2,0,78.95,c Yadav b Dilshan
Albie Morkel,1,4,0,0,25.0,c Collingwood b Sehwag
Doug Bollinger,16,14,1,1,114.29,not out
S Badrinath,30,29,2,0,103.45,c Warner b Nehra
Ravichandran Ashwin,6,13,0,0,46.15,run out (Mishra)
Murali Vijay,17,11,3,0,154.55,c Karthik b Nehra
Michael Hussey,15,18,2,0,83.33,c Dilshan b Sehwag
