batter,runs,balls,fours,sixes,strike_rate,dismissal
Yuvraj Singh,0,2,0,0,0.0,c A Rayudu b M Patel
Murali Kartik,11,13,1,0,84.62,c A Symonds b L Malinga
Alfonso Thomas,0,2,0,0,0.0,not out
Robin Uthappa,45,37,6,1,121.62,c K Pollard b A Murtaza
Jesse Ryder,12,15,2,0,80.0,c S Tendulkar b A Nechim
Mithun Manhas,0,1,0,0,0.0,c A Rayudu b A Nechim
Wayne Parnell,9,8,1,0,112.5,b J Franklin
Tim Paine,2,9,0,0,22.22,b M Patel
Shrikant Wagh,2,2,0,0,100.0,c A Symonds b L Malinga
Mohnish Mishra,12,10,2,0,120.0,c R Sharma b A Murtaza
Rahul Sharma,13,9,1,1,144.44,c A Murtaza b M Patel
