batter,runs,balls,fours,sixes,strike_rate,dismissal
VVS Laxman,8,10,1,0,80.0,run out (R Dravid)
Parthiv Patel,32,34,2,0,94.12,st D Yagnik b S Warne
Mahela Jayawardene,13,13,2,0,100.0,b J Botha
Muthiah Muralidaran,5,8,0,0,62.5,not out
Brad Hodge,8,14,0,0,57.14,b S Warne
RP Singh,1,1,0,0,100.0,run out (J Botha/D Yagnik)
Ravindra Jadeja,22,23,2,0,95.65,c & b S Warne
Vinay Kumar,5,4,1,0,125.0,c S Watson b A Singh
Kedar Jadhav,5,9,0,0,55.56,c D Yagnik b S Trivedi
Raiphi Gomez,0,1,0,0,0.0,c S Watson b S Trivedi
Thisara Perera,1,4,0,0,25.0,c S Binny b S Trivedi
