batter,runs,balls,fours,sixes,strike_rate,dismissal
Parthiv Patel,0,3,0,0,0.0,c K Sangakkara b I Sharma
Mahela Jayawardene,4,8,1,0,50.0,c K Sangakkara b I Sharma
Brendon McCullum,0,4,0,0,0.0,c K Sangakkara b D Steyn
Brad Hodge,0,2,0,0,0.0,b I Sharma
RP Singh,0,1,0,0,0.0,b D Steyn
S Sreesanth,0,1,0,0,0.0,not out
Ravindra Jadeja,23,35,2,0,65.71,c D Christian b A Mishra
Vinay Kumar,18,19,2,0,94.74,b D Steyn
Kedar Jadhav,0,2,0,0,0.0,lbw b I Sharma
Raiphi Gomez,0,1,0,0,0.0,b I Sharma
Thisara Perera,22,23,4,0,95.65,c C White b M Gony
