batter,runs,balls,fours,sixes,strike_rate,dismissal
Adam Gilchrist,0,2,0,0,0.0,lbw b H Singh
Dinesh Karthik,1,2,0,0,50.0,lbw b K Pollard
Piyush Chawla,10,10,1,0,100.0,not out
David Hussey,1,5,0,0,20.0,c R Sharma b M Patel
Shaun Marsh,61,47,8,0,129.79,c S Tendulkar b L Malinga
Praveen Kumar,2,3,0,0,66.67,not out
Ryan Harris,1,2,0,0,50.0,c K Pollard b M Patel
Abhishek Nayar,14,9,2,0,155.56,c A Symonds b H Singh
Paul Valthaty,33,38,1,2,86.84,c K Pollard b A Symonds
Bipul Sharma,1,2,0,0,50.0,b L Malinga
