batter,runs,balls,fours,sixes,strike_rate,dismissal
Virender Sehwag,19,16,2,1,118.75,run out (S Tendulkar)
Irfan Pathan,0,1,0,0,0.0,run out (R Sathish/D Jacobs)
Venugopal Rao,26,25,3,0,104.0,b L Malinga
Morne Morkel,0,2,0,0,0.0,b L Malinga
Ashok Dinda,0,5,0,0,0.0,c J Franklin b L Malinga
Naman Ojha,29,30,2,1,96.67,c L Malinga b A Murtaza
Aaron Finch,8,12,1,0,66.67,c A Rayudu b H Singh
Roelof van der Merwe,8,6,1,0,133.33,not out
David Warner,1,3,0,0,33.33,b L Malinga
Umesh Yadav,0,4,0,0,0.0,st D Jacobs b H Singh
Unmukt Chand,0,2,0,0,0.0,b L Malinga
