batter,runs,balls,fours,sixes,strike_rate,dismissal
Sachin Tendulkar,6,9,1,0,66.67,c S Marsh b P Kumar
Andrew Symonds,8,6,1,0,133.33,run out (M Singh/A Gilchrist)
Harbhajan Singh,12,7,1,1,171.43,b B Bhatt
Munaf Patel,0,1,0,0,0.0,lbw b B Bhatt
Rohit Sharma,5,5,1,0,100.0,st A Gilchrist b B Sharma
Kieron Pollard,17,11,1,1,154.55,c S Marsh b B Bhatt
Dhawal Kulkarni,2,4,0,0,50.0,c & b B Bhatt
Aiden Blizzard,15,10,3,0,150.0,c A Gilchrist b P Kumar
Tirumalsetti Suman,4,5,0,0,80.0,c P Kumar b R Harris
Ambati Rayudu,13,19,2,0,68.42,c B Sharma b S Srivastava
