batter,runs,balls,fours,sixes,strike_rate,dismissal
Adam Gilchrist,1,3,0,0,33.33,c R Uthappa b A Thomas
Dinesh Karthik,0,7,0,0,0.0,c R Sharma b S Wagh
Piyush Chawla,15,28,0,0,53.57,c R Uthappa b S Wagh
Shaun Marsh,1,3,0,0,33.33,c R Sharma b S Wagh
Praveen Kumar,3,5,0,0,60.0,c R Uthappa b W Parnell
Abhishek Nayar,12,18,2,0,66.67,c Y Singh b J Ryder
Ryan McLaren,51,43,6,1,118.6,not out
Paul Valthaty,6,6,1,0,100.0,c J Ryder b A Thomas
Sunny Singh,12,6,3,0,200.0,run out (Y Singh/R Uthappa)
Nathan Rimmington,1,1,0,0,100.0,not out
