batter,runs,balls,fours,sixes,strike_rate,dismissal
Adam Gilchrist,51,37,6,2,137.84,c C White b D Christian
Dinesh Karthik,11,14,1,0,78.57,c D Ravi Teja b D Christian
Piyush Chawla,13,7,0,2,185.71,not out
Shaun Marsh,13,8,3,0,162.5,c A Rajan b J Duminy
Praveen Kumar,0,7,0,0,0.0,b A Mishra
Ryan Harris,0,1,0,0,0.0,c S Dhawan b A Mishra
Abhishek Nayar,3,7,0,0,42.86,c D Christian b P Ojha
Ryan McLaren,9,14,0,0,64.29,c D Christian b A Mishra
Paul Valthaty,5,6,1,0,83.33,c A Rajan b D Steyn
Mandeep Singh,7,8,1,0,87.5,st K Devdhar b A Mishra
Bhargav Bhatt,0,5,0,0,0.0,run out (A Rajan)
