batter,runs,balls,fours,sixes,strike_rate,dismissal
Sachin Tendulkar,40,24,7,0,166.67,st de Villiers b Syed Mohammad
Harbhajan Singh,13,7,1,1,185.71,c L Pomersbach b S Aravind
Lasith Malinga,7,5,0,1,140.0,c L Pomersbach b Syed Mohammad
James Franklin,16,17,0,1,94.12,b Z Khan
Rohit Sharma,13,15,1,0,86.67,c L Pomersbach b D Vettori
Kieron Pollard,3,6,0,0,50.0,c A Mithun b D Vettori
Aiden Blizzard,10,11,2,0,90.91,c M Agarwal b S Aravind
Ambati Rayudu,0,1,0,0,0.0,lbw b D Vettori
Rajagopal Sathish,18,21,1,0,85.71,not out
Abu Nechim,18,13,1,1,138.46,not out
