batter,runs,balls,fours,sixes,strike_rate,dismissal
Brett Lee,8,4,0,1,200.0,not out
Jacques Kallis,22,23,3,1,95.65,c de Villiers b D Vettori
Gautam Gambhir,64,39,9,1,164.1,c Harshal Patel b Z Khan
Shakib Al Hasan,4,4,0,0,100.0,c C Pujara b V Kumar
Ryan ten Doeschate,3,4,0,0,75.0,c D Vettori b M Muralitharan
Manoj Tiwary,2,5,0,0,40.0,c M Agarwal b Z Khan
Yusuf Pathan,1,3,0,0,33.33,c C Gayle b V Kumar
Rajat Bhatia,4,1,1,0,400.0,not out
Laxmi Shukla,5,8,0,0,62.5,c Z Khan b Harshal Patel
Manvinder Bisla,46,29,2,3,158.62,st de Villiers b M Muralitharan
