batter,runs,balls,fours,sixes,strike_rate,dismissal
Harbhajan Singh,33,22,5,1,150.0,c N Ojha b M Morkel
Dinesh Karthik,3,4,0,0,75.0,c K Pietersen b U Yadav
RP Singh,0,4,0,0,0.0,b M Morkel
Munaf Patel,1,5,0,0,20.0,not out
Rohit Sharma,29,27,5,0,107.41,c Ross Taylor b A Agarkar
Kieron Pollard,1,3,0,0,33.33,c Ross Taylor b U Yadav
Pragyan Ojha,3,12,0,0,25.0,b A Agarkar
Clint McKay,8,15,0,0,53.33,c U Yadav b I Pathan
Richard Levi,1,4,0,0,25.0,b S Nadeem
Ambati Rayudu,4,11,0,0,36.36,run out (V Sehwag/N Ojha)
Davy Jacobs,0,10,0,0,0.0,b S Nadeem
