batter,runs,balls,fours,sixes,strike_rate,dismissal
Dwayne Bravo,19,19,3,0,100.0,c K Pollard b P Ojha
MS Dhoni,4,6,0,0,66.67,run out (A Nechim/D Karthik)
Suresh Raina,36,26,2,1,138.46,c L Malinga b P Ojha
Albie Morkel,3,8,0,0,37.5,c P Ojha b K Pollard
Doug Bollinger,3,5,0,0,60.0,c R Sharma b L Malinga
S Badrinath,10,16,0,0,62.5,c H Singh b K Pollard
Ravindra Jadeja,3,5,0,0,60.0,b L Malinga
Ravichandran Ashwin,3,5,0,0,60.0,run out (H Singh/D Karthik)
Murali Vijay,10,17,1,0,58.82,c H Singh b J Franklin
Shadab Jakati,6,10,0,0,60.0,not out
Faf du Plessis,3,2,0,0,150.0,run out (A Rayudu)
