batter,runs,balls,fours,sixes,strike_rate,dismissal
Parthiv Patel,45,27,5,1,166.67,c M Jayawardene b S Nadeem
Kumar Sangakkara,1,7,0,0,14.29,c Y Nagar b M Morkel
Jean-Paul Duminy,4,5,0,0,80.0,c V Sehwag b S Nadeem
Dale Steyn,2,3,0,0,66.67,c V Sehwag b M Morkel
Shikhar Dhawan,44,29,5,1,151.72,lbw b S Nadeem
Amit Mishra,6,6,0,0,100.0,run out (K Pietersen/N Ojha)
Bharath Chipli,25,17,3,1,147.06,not out
Daniel Christian,19,21,1,0,90.48,c S Nadeem b U Yadav
Abhishek Jhunjhunwala,4,5,1,0,80.0,c N Ojha b M Morkel
Ankit Sharma,1,1,0,0,100.0,not out
