batter,runs,balls,fours,sixes,strike_rate,dismissal
Sachin Tendulkar,34,35,4,0,97.14,c R Uthappa b A Nehra
Harbhajan Singh,0,1,0,0,0.0,c W Parnell b A Dinda
Lasith Malinga,14,14,1,1,100.0,run out (S Smith/R Uthappa)
Dinesh Karthik,18,22,1,0,81.82,not out
Robin Peterson,13,14,1,0,92.86,c S Ganguly b A Nehra
James Franklin,25,23,3,1,108.7,c M Manhas b B Kumar
Rohit Sharma,3,5,0,0,60.0,run out (S Smith/R Uthappa)
Pragyan Ojha,1,1,0,0,100.0,run out (R Uthappa)
Thisara Perera,0,4,0,0,0.0,run out (S Smith)
Ambati Rayudu,1,3,0,0,33.33,b B Kumar
