batter,runs,balls,fours,sixes,strike_rate,dismissal
Parthiv Patel,17,13,1,1,130.77,b Awana
Kumar Sangakkara,4,6,0,0,66.67,c N Saini b P Kumar
Cameron White,8,14,1,0,57.14,c S Marsh b D Hussey
Shikhar Dhawan,8,6,1,0,133.33,c A Mahmood b P Kumar
Amit Mishra,8,5,1,0,160.0,not out
Abhishek Jhunjhunwala,19,20,0,1,95.0,run out (S Marsh)
Ashish Reddy,8,8,1,0,100.0,c S Marsh b Awana
Rusty Theron,7,6,1,0,116.67,not out
Daniel Harris,30,29,2,1,103.45,c Awana b D Hussey
Akshath Reddy,24,13,2,1,184.62,st N Saini b P Chawla
