batter,runs,balls,fours,sixes,strike_rate,dismissal
Michael Clarke,13,10,2,0,130.0,c Saurabh Tiwary b V Kumar
Alfonso Thomas,7,6,1,0,116.67,b V Kumar
Robin Uthappa,38,23,5,1,165.22,st de Villiers b M Muralitharan
Angelo Mathews,4,10,0,0,40.0,st de Villiers b KP Appanna
Bhuvneshwar Kumar,2,4,0,0,50.0,b M Muralitharan
Manish Pandey,0,2,0,0,0.0,b Z Khan
Steven Smith,24,25,1,0,96.0,not out
Mohnish Mishra,4,4,1,0,100.0,lbw b Z Khan
Rahul Sharma,0,2,0,0,0.0,b V Kumar
Anustup Majumdar,31,26,4,0,119.23,c Z Khan b Harshal Patel
Krishnakant Upadhyay,11,8,0,1,137.5,not out
