batter,runs,balls,fours,sixes,strike_rate,dismissal
Irfan Pathan,4,4,0,0,100.0,c T Dilshan b Z Khan
Mahela Jayawardene,9,14,0,0,64.29,c de Villiers b P Parameswaran
Venugopal Rao,36,24,4,1,150.0,c Harshal Patel b M Muralitharan
Ross Taylor,55,26,7,2,211.54,c M Agarwal b V Kumar
Naman Ojha,13,12,1,0,108.33,c Saurabh Tiwary b Z Khan
David Warner,15,9,2,1,166.67,c V Kumar b Z Khan
Umesh Yadav,0,2,0,0,0.0,c Saurabh Tiwary b P Parameswaran
Andre Russell,31,15,1,3,206.67,c V Kohli b P Parameswaran
Unmukt Chand,18,10,2,1,180.0,c Harshal Patel b V Kumar
Pawan Negi,6,4,1,0,150.0,not out
