batter,runs,balls,fours,sixes,strike_rate,dismissal
Adam Gilchrist,9,12,2,0,75.0,c V Aaron b U Yadav
Azhar Mahmood,36,38,4,1,94.74,c U Chand b M Morkel
Piyush Chawla,1,2,0,0,50.0,b M Morkel
David Hussey,3,6,0,0,50.0,c I Pathan b U Yadav
Praveen Kumar,3,2,0,0,150.0,not out
Ryan Harris,15,6,1,1,250.0,not out
Siddharth Chitnis,38,32,5,1,118.75,c I Pathan b Andre Russell
Paul Valthaty,2,10,0,0,20.0,c I Pathan b M Morkel
Mandeep Singh,0,1,0,0,0.0,c N Ojha b U Yadav
Gurkeerat Singh Mann,26,11,4,1,236.36,b M Morkel
