batter,runs,balls,fours,sixes,strike_rate,dismissal
Parthiv Patel,1,5,0,0,20.0,c R Sharma b M Patel
Kumar Sangakkara,14,19,1,0,73.68,b M Patel
Cameron White,30,22,1,2,136.36,not out
Dale Steyn,2,2,0,0,100.0,b K Pollard
Shikhar Dhawan,41,24,2,4,170.83,c K Pollard b L Malinga
Amit Mishra,0,2,0,0,0.0,c M Patel b L Malinga
Dwaraka Ravi Teja,4,2,1,0,200.0,b L Malinga
Bharath Chipli,1,6,0,0,16.67,c L Malinga b M Patel
Daniel Christian,39,36,1,2,108.33,c K Pollard b M Patel
Ankit Sharma,1,2,0,0,50.0,c A Rayudu b K Pollard
