batter,runs,balls,fours,sixes,strike_rate,dismissal
Adam Gilchrist,9,6,2,0,150.0,c M Hussey b D Nannes
Azhar Mahmood,8,7,0,0,114.29,c R Ashwin b C Morris
Piyush Chawla,4,5,1,0,80.0,c M Vijay b DJ Bravo
David Hussey,41,36,4,1,113.89,c DJ Bravo b R Ashwin
Praveen Kumar,3,5,0,0,60.0,run out (M Dhoni)
Ryan Harris,0,2,0,0,0.0,c DJ Bravo b C Morris
Rajagopal Sathish,8,6,1,0,133.33,c C Morris b DJ Bravo
Mandeep Singh,9,10,1,0,90.0,c DJ Bravo b D Nannes
Parvinder Awana,1,5,0,0,20.0,not out
Gurkeerat Singh Mann,31,26,3,0,119.23,c D Nannes b DJ Bravo
Manan Vohra,16,11,3,0,145.45,c M Hussey b R Jadeja
