batter,runs,balls,fours,sixes,strike_rate,dismissal
Dwayne Bravo,1,4,0,0,25.0,c S Smith b R Sharma
MS Dhoni,10,13,0,0,76.92,c S Smith b A Dinda
Suresh Raina,8,10,1,0,80.0,c T Suman b B Kumar
Albie Morkel,13,11,0,1,118.18,c A Finch b A Dinda
S Badrinath,34,26,4,0,130.77,c S Smith b M Marsh
Ravindra Jadeja,27,22,1,1,122.73,c A Dinda b M Marsh
Ravichandran Ashwin,11,5,2,0,220.0,not out
Murali Vijay,24,22,2,1,109.09,c Ross Taylor b A Nayar
Srikkanth Anirudha,0,2,0,0,0.0,lbw b B Kumar
Chris Morris,5,5,0,0,100.0,not out
