batter,runs,balls,fours,sixes,strike_rate,dismissal
Irfan Pathan,4,7,0,0,57.14,c Manoj Tiwary b S Narine
Mahela Jayawardene,66,52,8,1,126.92,c S Narine b B Lee
Ashish Nehra,0,1,0,0,0.0,c L Shukla b S Narine
Johan Botha,7,6,1,0,116.67,lbw b R Bhatia
Naman Ojha,9,9,1,0,100.0,c B Lee b R Bhatia
David Warner,21,19,4,0,110.53,c J Kallis b S Narine
Andre Russell,4,8,0,0,50.0,c & b S Narine
Unmukt Chand,0,1,0,0,0.0,b B Lee
Shahbaz Nadeem,4,8,0,0,50.0,run out (M Bisla/S Narine)
Manprit Juneja,8,9,1,0,88.89,c L Shukla b L Balaji
