batter,runs,balls,fours,sixes,strike_rate,dismissal
Adam Gilchrist,7,12,1,0,58.33,lbw b S Senanayake
Azhar Mahmood,0,1,0,0,0.0,c & b S Narine
Piyush Chawla,11,8,2,0,137.5,not out
David Hussey,12,15,0,0,80.0,c M Bisla b S Narine
Praveen Kumar,1,2,0,0,50.0,c Y Pathan b J Kallis
Manpreet Gony,42,18,4,3,233.33,b J Kallis
Mandeep Singh,41,30,6,0,136.67,c M Bisla b J Kallis
David Miller,20,17,1,0,117.65,b S Senanayake
Gurkeerat Singh Mann,0,1,0,0,0.0,b S Narine
Manan Vohra,17,16,2,0,106.25,c & b L Balaji
