batter,runs,balls,fours,sixes,strike_rate,dismissal
Yuvraj Singh,5,4,1,0,125.0,c M Dhoni b Mohit Sharma
Robin Uthappa,10,11,0,1,90.91,run out (S Raina)
Luke Wright,2,6,0,0,33.33,run out (A Morkel)
Abhishek Nayar,2,4,0,0,50.0,run out (A Morkel/R Ashwin)
Ashok Dinda,2,2,0,0,100.0,not out
Aaron Finch,15,9,2,1,166.67,c M Dhoni b Mohit Sharma
Bhuvneshwar Kumar,24,24,1,1,100.0,not out
Tirumalsetti Suman,0,1,0,0,0.0,lbw b Mohit Sharma
Steven Smith,35,39,3,0,89.74,c & b R Jadeja
Kane Richardson,26,20,2,1,130.0,c S Raina b C Morris
Rahul Sharma,0,1,0,0,0.0,c S Raina b DJ Bravo
