batter,runs,balls,fours,sixes,strike_rate,dismissal
Virender Sehwag,8,17,0,0,47.06,b D Sammy
Irfan Pathan,13,19,0,0,68.42,b D Steyn
Mahela Jayawardene,11,12,1,1,91.67,lbw b I Sharma
Ashish Nehra,0,1,0,0,0.0,b T Perera
Johan Botha,1,7,0,0,14.29,c P Patel b T Perera
David Warner,8,15,0,0,53.33,st P Patel b A Mishra
Kedar Jadhav,3,4,0,0,75.0,c & b Karan Sharma
Umesh Yadav,2,5,0,0,40.0,not out
Jeevan Mendis,11,9,0,0,122.22,c I Sharma b D Sammy
Unmukt Chand,17,24,3,0,70.83,b D Steyn
Shahbaz Nadeem,0,3,0,0,0.0,run out (H Vihari/D Sammy)
