batter,runs,balls,fours,sixes,strike_rate,dismissal
Yuvraj Singh,1,2,0,0,50.0,c M Bisla b L Balaji
Robin Uthappa,31,35,2,0,88.57,c G Gambhir b I Abdulla
Angelo Mathews,40,28,0,4,142.86,c Manoj Tiwary b S Narine
Aaron Finch,5,5,1,0,100.0,b J Kallis
Wayne Parnell,5,7,0,0,71.43,c Manoj Tiwary b S Narine
Bhuvneshwar Kumar,1,3,0,0,33.33,b L Balaji
Mahesh Rawat,5,11,0,0,45.45,c M Bisla b J Kallis
Mitchell Marsh,5,8,0,0,62.5,c Manoj Tiwary b R Bhatia
Krishnakant Upadhyay,1,1,0,0,100.0,not out
Udit Birla,7,14,1,0,50.0,b I Abdulla
Parvez Rasool,1,4,0,0,25.0,c & b L Balaji
