batter,runs,balls,fours,sixes,strike_rate,dismissal
Virender Sehwag,0,2,0,0,0.0,c M Dhoni b Mohit Sharma
Irfan Pathan,4,5,0,0,80.0,b DJ Bravo
Ashish Nehra,0,1,0,0,0.0,c M Dhoni b DJ Bravo
Johan Botha,23,20,3,1,115.0,c J Holder b R Ashwin
Roelof van der Merwe,14,16,1,0,87.5,c S Raina b R Ashwin
David Warner,44,37,2,1,118.92,c M Vijay b A Morkel
Siddarth Kaul,7,9,0,0,77.78,not out
Kedar Jadhav,2,4,0,0,50.0,c M Dhoni b A Morkel
Umesh Yadav,12,9,0,1,133.33,not out
Ben Rohrer,4,5,0,0,80.0,c R Ashwin b A Morkel
Unmukt Chand,16,12,2,1,133.33,c J Holder b Mohit Sharma
