batter,runs,balls,fours,sixes,strike_rate,dismissal
Rahul Dravid,25,24,2,1,104.17,run out (Cameron White)
Shane Watson,11,20,0,0,55.0,c D Sammy b T Perera
Brad Hodge,8,7,1,0,114.29,b D Steyn
Ajinkya Rahane,12,25,0,1,48.0,c S Dhawan b Karan Sharma
Stuart Binny,8,8,1,0,100.0,b T Perera
Siddharth Trivedi,0,1,0,0,0.0,not out
Kevon Cooper,26,12,3,1,216.67,c B Samantray b D Steyn
James Faulkner,6,3,0,1,200.0,c T Perera b Karan Sharma
Sanju Samson,5,7,0,0,71.43,c D Steyn b A Mishra
Sachin Baby,3,7,0,0,42.86,lbw b A Mishra
Pravin Tambe,3,6,0,0,50.0,not out
