batter,runs,balls,fours,sixes,strike_rate,dismissal
Marlon Samuels,3,9,0,0,33.33,run out (P Chawla/A Gilchrist)
Ross Taylor,15,19,1,0,78.95,c Gurkeerat Singh b P Kumar
Robin Uthappa,19,23,2,0,82.61,b P Chawla
Abhishek Nayar,25,26,3,0,96.15,not out
Angelo Mathews,4,4,1,0,100.0,c A Gilchrist b Awana
Bhuvneshwar Kumar,8,12,1,0,66.67,b A Mahmood
Manish Pandey,0,4,0,0,0.0,b P Kumar
Tirumalsetti Suman,6,14,1,0,42.86,c P Kumar b A Mahmood
Mitchell Marsh,15,8,1,1,187.5,b R Harris
Rahul Sharma,1,1,0,0,100.0,run out (P Chawla)
