batter,runs,balls,fours,sixes,strike_rate,dismissal
Harbhajan Singh,0,4,0,0,0.0,c M Vijay b DJ Bravo
Lasith Malinga,0,2,0,0,0.0,c M Hussey b DJ Bravo
Dinesh Karthik,11,18,1,0,61.11,lbw b R Jadeja
Dwayne Smith,68,28,6,5,242.86,c S Raina b R Jadeja
Mitchell Johnson,6,7,0,0,85.71,c S Raina b DJ Bravo
Rohit Sharma,8,15,0,0,53.33,c DJ Bravo b C Morris
Kieron Pollard,24,16,1,2,150.0,c M Hussey b R Jadeja
Pragyan Ojha,0,2,0,0,0.0,c DJ Bravo b Mohit Sharma
Ambati Rayudu,15,14,1,0,107.14,c C Morris b Mohit Sharma
Aditya Tare,7,7,1,0,100.0,c M Vijay b A Morkel
