batter,runs,balls,fours,sixes,strike_rate,dismissal
Jacques Kallis,9,11,2,0,81.82,c Maxwell b Balaji
Gautam Gambhir,1,5,0,0,20.0,c A Patel b Sandeep Sharma
Piyush Chawla,0,2,0,0,0.0,st W Saha b A Patel
Robin Uthappa,19,27,2,0,70.37,run out (Bailey)
Morne Morkel,4,3,0,0,133.33,not out
Yusuf Pathan,3,5,0,0,60.0,lbw b R Dhawan
Manish Pandey,8,10,1,0,80.0,lbw b Sandeep Sharma
Umesh Yadav,2,4,0,0,50.0,b Johnson
Sunil Narine,6,8,0,0,75.0,b Johnson
Chris Lynn,13,18,2,0,72.22,b A Patel
Suryakumar Yadav,34,17,3,1,200.0,c Johnson b Sandeep Sharma
