batter,runs,balls,fours,sixes,strike_rate,dismissal
Yuvraj Singh,3,11,0,0,27.27,c Sehwag b Shivam Sharma
Parthiv Patel,13,14,3,0,92.86,c Mandeep b Sandeep Sharma
Chris Gayle,4,7,1,0,57.14,c W Saha b Sandeep Sharma
AB de Villiers,53,26,1,5,203.85,c A Patel b Balaji
Albie Morkel,16,8,0,2,200.0,c Bailey b Shivam Sharma
Virat Kohli,0,1,0,0,0.0,c W Saha b Sandeep Sharma
Sachin Rana,18,16,2,1,112.5,b A Patel
Varun Aaron,17,11,1,1,154.55,not out
Mitchell Starc,29,23,4,0,126.09,c D Miller b Balaji
Yuzvendra Chahal,1,1,0,0,100.0,not out
Harshal Patel,6,3,1,0,200.0,c W Saha b Johnson
