batter,runs,balls,fours,sixes,strike_rate,dismissal
Dinesh Karthik,3,8,0,0,37.5,c Ben Cutting b D Kulkarni
Jean-Paul Duminy,8,8,0,1,100.0,c Nair b Tambe
Kevin Pietersen,13,18,1,0,72.22,b R Bhatia
Ross Taylor,4,5,0,0,80.0,c & b R Bhatia
Manoj Tiwary,61,44,5,2,138.64,not out
Siddarth Kaul,2,2,0,0,100.0,not out
Kedar Jadhav,3,3,0,0,100.0,run out (Ben Cutting)
Mayank Agarwal,17,10,3,0,170.0,c S Smith b Faulkner
Imran Tahir,4,6,1,0,66.67,b Binny
Shahbaz Nadeem,1,4,0,0,25.0,b Ben Cutting
Rahul Shukla,14,12,2,0,116.67,c S Smith b K Cooper
