batter,runs,balls,fours,sixes,strike_rate,dismissal
Harbhajan Singh,7,2,0,1,350.0,not out
Rohit Sharma,20,16,3,0,125.0,c B McCullum b Mohit Sharma
Praveen Kumar,1,2,0,0,50.0,b Mohit Sharma
Lendl Simmons,67,44,5,4,152.27,c Raina b R Jadeja
Kieron Pollard,14,8,1,1,175.0,c Mohit Sharma b Nehra
Pragyan Ojha,1,1,0,0,100.0,not out
Michael Hussey,39,33,4,1,118.18,b R Jadeja
Ambati Rayudu,2,3,0,0,66.67,c D Hussey b Mohit Sharma
Aditya Tare,0,1,0,0,0.0,c du Plessis b Nehra
Corey Anderson,20,10,1,2,200.0,c I Pandey b Ashwin
