batter,runs,balls,fours,sixes,strike_rate,dismissal
Zaheer Khan,0,2,0,0,0.0,c Sachin Rana b Dinda
Harbhajan Singh,8,8,1,0,100.0,b Aaron
Lasith Malinga,2,4,0,0,50.0,run out (Yuvraj)
Rohit Sharma,2,5,0,0,40.0,c de Villiers b Chahal
Kieron Pollard,3,7,0,0,42.86,c Sachin Rana b Chahal
Pragyan Ojha,1,5,0,0,20.0,not out
Michael Hussey,16,15,2,0,106.67,c Chahal b A Morkel
Ambati Rayudu,35,37,1,0,94.59,c de Villiers b M Starc
Aditya Tare,17,18,2,0,94.44,c N Maddinson b Aaron
Corey Anderson,18,19,2,0,94.74,c Kohli b M Starc
Jasprit Bumrah,1,1,0,0,100.0,not out
