batter,runs,balls,fours,sixes,strike_rate,dismissal
Irfan Pathan,5,9,0,0,55.56,b A Patel
Daren Sammy,15,11,0,1,136.36,c A Patel b Balaji
Venugopal Rao,11,9,2,0,122.22,b Sandeep Sharma
Dale Steyn,12,16,0,0,75.0,b Balaji
Shikhar Dhawan,1,3,0,0,33.33,c W Saha b Johnson
Amit Mishra,4,5,0,0,80.0,not out
Aaron Finch,19,15,2,1,126.67,b Balaji
Bhuvneshwar Kumar,1,3,0,0,33.33,c Johnson b R Dhawan
David Warner,8,12,1,0,66.67,c Maxwell b Balaji
Karn Sharma,10,8,0,1,125.0,c D Miller b Johnson
KL Rahul,27,27,1,1,100.0,c D Miller b A Patel
