batter,runs,balls,fours,sixes,strike_rate,dismissal
Parthiv Patel,28,19,4,1,147.37,c Tahir b Mathews
Harbhajan Singh,9,10,0,1,90.0,c (sub)Jayant Yadav b Mathews
Lasith Malinga,6,10,1,0,60.0,not out
Rohit Sharma,30,24,0,2,125.0,c S Nadeem b Coulter-Nile
Lendl Simmons,15,14,3,0,107.14,c Duminy b D Joseph
Kieron Pollard,10,8,0,1,125.0,c S Nadeem b A Mishra
Ambati Rayudu,30,22,3,1,136.36,c Coulter-Nile b Tahir
Mitchell McClenaghan,0,1,0,0,0.0,c K Jadhav b Tahir
Unmukt Chand,14,11,2,0,127.27,st K Jadhav b A Mishra
Hardik Pandya,0,1,0,0,0.0,c Coulter-Nile b Tahir
