batter,runs,balls,fours,sixes,strike_rate,dismissal
Parthiv Patel,17,17,3,0,100.0,c Vihari b Steyn
Harbhajan Singh,0,4,0,0,0.0,c Bhuvneshwar b P Kumar
Rohit Sharma,24,15,2,1,160.0,c Bhuvneshwar b Karn Sharma
Lendl Simmons,51,42,6,1,121.43,b Steyn
Kieron Pollard,33,24,3,1,137.5,b Bhuvneshwar
Vinay Kumar,0,1,0,0,0.0,c N Ojha b Bhuvneshwar
Ambati Rayudu,7,7,1,0,100.0,c T Boult b Bhuvneshwar
Mitchell McClenaghan,1,1,0,0,100.0,not out
Unmukt Chand,5,4,1,0,125.0,c Dhawan b P Kumar
Jagadeesha Suchith,9,5,0,0,180.0,not out
