batter,runs,balls,fours,sixes,strike_rate,dismissal
Brad Hogg,2,1,0,0,200.0,not out
Gautam Gambhir,0,1,0,0,0.0,c Dhoni b I Pandey
Piyush Chawla,0,2,0,0,0.0,c Dhoni b DJ Bravo
Robin Uthappa,39,17,6,1,229.41,c B McCullum b Ashwin
Ryan ten Doeschate,38,28,3,2,135.71,not out
Yusuf Pathan,13,18,0,0,72.22,b DJ Bravo
Manish Pandey,15,20,2,0,75.0,c DJ Bravo b Ashwin
Umesh Yadav,0,1,0,0,0.0,b Nehra
Andre Russell,4,4,0,0,100.0,run out (R Jadeja/Dhoni)
Suryakumar Yadav,16,26,1,0,61.54,c DJ Bravo b Mohit Sharma
Pat Cummins,0,2,0,0,0.0,c R Jadeja b DJ Bravo
