batter,runs,balls,fours,sixes,strike_rate,dismissal
Azhar Mahmood,6,7,1,0,85.71,c A Rahane b Faulkner
Gautam Gambhir,1,3,0,0,33.33,c Binny b C Morris
Piyush Chawla,0,1,0,0,0.0,c Binny b Watson
Robin Uthappa,14,8,3,0,175.0,c S Smith b D Kulkarni
Shakib Al Hasan,13,11,2,0,118.18,c S Smith b C Morris
Morne Morkel,4,3,0,0,133.33,not out
Yusuf Pathan,44,35,5,1,125.71,c D Kulkarni b Watson
Manish Pandey,21,21,3,0,100.0,c C Morris b D Kulkarni
Umesh Yadav,24,11,4,1,218.18,not out
Andre Russell,37,20,4,2,185.0,c D Kulkarni b C Morris
Suryakumar Yadav,0,1,0,0,0.0,c Samson b C Morris
