batter,runs,balls,fours,sixes,strike_rate,dismissal
Dinesh Karthik,9,11,1,0,81.82,c Williamson b Karn Sharma
Chris Gayle,21,16,3,1,131.25,c Ashish Reddy b P Kumar
Daren Sammy,6,9,0,0,66.67,b Ashish Reddy
AB de Villiers,46,28,5,2,164.29,c Dhawan b T Boult
Virat Kohli,41,37,4,2,110.81,b R Bopara
Varun Aaron,6,3,0,1,200.0,b Bhuvneshwar
Mandeep Singh,0,1,0,0,0.0,c Warner b R Bopara
Abu Nechim,4,2,1,0,200.0,b Bhuvneshwar
Yuzvendra Chahal,1,1,0,0,100.0,not out
Sean Abbott,14,9,1,1,155.56,c Karn Sharma b T Boult
Harshal Patel,2,2,0,0,100.0,c Williamson b T Boult
