batter,runs,balls,fours,sixes,strike_rate,dismissal
MS Dhoni,41,38,3,0,107.89,c de Villiers b Harshal Patel
Kevin Pietersen,0,1,0,0,0.0,retd hurt
Ajinkya Rahane,60,46,8,0,130.43,st Rahul b Tabraiz Shamsi
Rajat Bhatia,21,11,1,1,190.91,c Watson b Kane Richardson
Ravichandran Ashwin,0,1,0,0,0.0,c Harshal Patel b Watson
Steven Smith,4,3,1,0,133.33,run out (Kohli)
Thisara Perera,34,13,3,3,261.54,c Mandeep b Watson
Ankit Sharma,3,3,0,0,100.0,not out
Faf du Plessis,2,3,0,0,66.67,c Harshal Patel b Kane Richardson
Murugan Ashwin,0,1,0,0,0.0,c de Villiers b Kane Richardson
