batter,runs,balls,fours,sixes,strike_rate,dismissal
Shaun Marsh,1,3,0,0,33.33,c Raina b Shivil
Wriddhiman Saha,33,19,4,0,173.68,b DJ Bravo
Murali Vijay,55,41,6,0,134.15,c DJ Bravo b Shivil
David Miller,31,27,2,0,114.81,c Dwayne Smith b D Kulkarni
Glenn Maxwell,0,1,0,0,0.0,c D Karthik b Shivil
Mohit Sharma,1,2,0,0,50.0,b P Kumar
Gurkeerat Singh Mann,0,3,0,0,0.0,run out (Faulkner/D Karthik)
Sandeep Sharma,1,1,0,0,100.0,not out
Axar Patel,0,2,0,0,0.0,c Ishan Kishan b DJ Bravo
Marcus Stoinis,27,17,3,1,158.82,st D Karthik b R Jadeja
KC Cariappa,1,3,0,0,33.33,b P Kumar
