batter,runs,balls,fours,sixes,strike_rate,dismissal
Dinesh Karthik,2,4,0,0,50.0,b Axar
Brendon McCullum,1,3,0,0,33.33,b Mohit Sharma
Dwayne Bravo,0,1,0,0,0.0,b Axar
Dwayne Smith,15,18,1,1,83.33,c Gurkeerat Singh b Axar
Suresh Raina,18,15,2,1,120.0,b Mohit Sharma
Ravindra Jadeja,11,11,0,0,100.0,c W Saha b Axar
Praveen Kumar,15,13,2,0,115.38,c Cariappa b Mohit Sharma
Dhawal Kulkarni,6,4,0,0,150.0,not out
James Faulkner,32,27,3,0,118.52,c D Miller b Sandeep Sharma
Ishan Kishan,27,24,3,0,112.5,run out (Maxwell/M Stoinis)
