batter,runs,balls,fours,sixes,strike_rate,dismissal
Dinesh Karthik,2,4,0,0,50.0,c de Villiers b C Jordan
Brendon McCullum,11,13,2,0,84.62,c de Villiers b Chahal
Dwayne Bravo,1,2,0,0,50.0,lbw b Chahal
Dwayne Smith,7,6,1,0,116.67,b Aravind
Ravindra Jadeja,21,19,2,1,110.53,c & b C Jordan
Praveen Kumar,1,4,0,0,25.0,b C Jordan
Dhawal Kulkarni,2,3,0,0,66.67,b C Jordan
Aaron Finch,37,38,3,1,97.37,c Aravind b Sachin Baby
Akshdeep Nath,3,6,0,0,50.0,b Chahal
Pravin Tambe,7,19,1,0,36.84,not out
Shivil Koushik,0,1,0,0,0.0,c Aravind b Sachin Baby
