batter,runs,balls,fours,sixes,strike_rate,dismissal
Hashim Amla,9,6,0,1,150.0,c C Jordan b Aravind
Wriddhiman Saha,24,10,5,0,240.0,lbw b Chahal
Murali Vijay,16,8,2,1,200.0,b Aravind
David Miller,3,6,0,0,50.0,c de Villiers b Watson
Mohit Sharma,14,12,2,0,116.67,run out (Watson/Sachin Baby)
Farhaan Behardien,0,1,0,0,0.0,c de Villiers b Chahal
Gurkeerat Singh Mann,18,18,2,0,100.0,c Gayle b Chahal
Sandeep Sharma,5,5,0,0,100.0,not out
Axar Patel,13,9,1,1,144.44,c Kohli b Watson
Kyle Abbott,0,1,0,0,0.0,c de Villiers b Chahal
KC Cariappa,12,8,0,1,150.0,not out
